timestamp,datapath_id,flow_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type,flow_duration_sec,flow_duration_nsec,idle_timeout,hard_timeout,flags,packet_count,byte_count,packet_count_per_second,packet_count_per_nsecond,byte_count_per_second,byte_count_per_nsecond,label
1729908136.060068,3,10.0.0.74620410.0.0.850501,10.0.0.7,46204,10.0.0.8,5050,1,0,8,9,307000000,20,100,0,8,784,0.8888888888888888,2.6058631921824104e-08,87.11111111111111,2.5537459283387623e-06,0
1729908136.060068,3,10.0.0.84620410.0.0.750501,10.0.0.8,46204,10.0.0.7,5050,1,0,0,9,302000000,20,100,0,8,784,0.8888888888888888,2.6490066225165563e-08,87.11111111111111,2.5960264900662252e-06,0
1729908136.061269,1,10.0.0.1505010.0.0.15336726,10.0.0.1,5050,10.0.0.15,33672,6,-1,-1,29,552000000,20,100,0,167325,11044174,5769.827586206897,0.000303125,380833.5862068966,0.0200075615942029,0
1729908136.061269,1,10.0.0.18010.0.0.15365426,10.0.0.1,80,10.0.0.15,36542,6,-1,-1,9,385000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1729908136.061269,1,10.0.0.18010.0.0.15365486,10.0.0.1,80,10.0.0.15,36548,6,-1,-1,9,339000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1729908136.061269,1,10.0.0.1505110.0.0.155074117,10.0.0.1,5051,10.0.0.15,50741,17,-1,-1,9,462000000,20,100,0,3,510,0.3333333333333333,6.493506493506493e-09,56.666666666666664,1.103896103896104e-06,0
1729908136.061269,1,10.0.0.1505010.0.0.7462046,10.0.0.1,5050,10.0.0.7,46204,6,-1,-1,9,280000000,20,100,0,149192,9847276,16576.88888888889,0.0005328285714285714,1094141.7777777778,0.035168842857142855,0
1729908136.061269,1,10.0.0.15505010.0.0.1462041,10.0.0.15,5050,10.0.0.1,46204,1,3,3,9,396000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1729908136.061269,1,10.0.0.153367210.0.0.150506,10.0.0.15,33672,10.0.0.1,5050,6,3,3,29,557000000,20,100,0,341315,15648349742,11769.48275862069,0.0006127737881508079,539598266.9655173,28.093985174147218,0
1729908136.061269,1,10.0.0.153654210.0.0.1806,10.0.0.15,36542,10.0.0.1,80,6,3,3,9,388000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1729908136.061269,1,10.0.0.153654810.0.0.1806,10.0.0.15,36548,10.0.0.1,80,6,3,3,9,342000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1729908136.061269,1,10.0.0.155074110.0.0.1505117,10.0.0.15,50741,10.0.0.1,5051,17,3,3,19,484000000,20,100,0,897,1356264,47.21052631578947,1.853305785123967e-06,71382.31578947368,0.002802198347107438,0
1729908136.061269,1,10.0.0.25074110.0.0.350511,10.0.0.2,50741,10.0.0.3,5051,1,0,0,38,734000000,20,100,0,37,3626,0.9736842105263158,5.040871934604905e-08,95.42105263157895,4.940054495912807e-06,0
1729908136.061269,1,10.0.0.35074110.0.0.250511,10.0.0.3,50741,10.0.0.2,5051,1,0,8,38,741000000,20,100,0,37,3626,0.9736842105263158,4.993252361673414e-08,95.42105263157895,4.893387314439946e-06,0
1729908136.061269,1,10.0.0.74620410.0.0.150506,10.0.0.7,46204,10.0.0.1,5050,6,0,8,9,283000000,20,100,0,302879,13858601102,33653.22222222222,0.001070243816254417,1539844566.8888888,48.97032191519435,0
1729908146.052593,3,10.0.0.18010.0.0.15365426,10.0.0.1,80,10.0.0.15,36542,6,-1,-1,19,380000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1729908146.052593,3,10.0.0.18010.0.0.15365486,10.0.0.1,80,10.0.0.15,36548,6,-1,-1,19,335000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1729908146.052593,3,10.0.0.1505110.0.0.155074117,10.0.0.1,5051,10.0.0.15,50741,17,-1,-1,19,449000000,20,100,0,3,510,0.15789473684210525,6.681514476614699e-09,26.842105263157894,1.135857461024499e-06,0
1729908146.052593,3,10.0.0.1505010.0.0.7462046,10.0.0.1,5050,10.0.0.7,46204,6,-1,-1,19,256000000,20,100,0,161807,10679878,8516.157894736842,0.00063205859375,562098.8421052631,0.0417182734375,0
1729908146.052593,3,10.0.0.15505010.0.0.1462041,10.0.0.15,5050,10.0.0.1,46204,1,3,3,19,409000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1729908146.052593,3,10.0.0.153654210.0.0.1806,10.0.0.15,36542,10.0.0.1,80,6,3,3,19,398000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
